experiment,model,actual,predicted,count
combined_base,LogisticRegression,DF,DF,288
combined_base,LogisticRegression,DF,FW,10
combined_base,LogisticRegression,DF,GK,0
combined_base,LogisticRegression,DF,MF,67
combined_base,LogisticRegression,FW,DF,11
combined_base,LogisticRegression,FW,FW,204
combined_base,LogisticRegression,FW,GK,0
combined_base,LogisticRegression,FW,MF,27
combined_base,LogisticRegression,GK,DF,0
combined_base,LogisticRegression,GK,FW,0
combined_base,LogisticRegression,GK,GK,73
combined_base,LogisticRegression,GK,MF,0
combined_base,LogisticRegression,MF,DF,58
combined_base,LogisticRegression,MF,FW,48
combined_base,LogisticRegression,MF,GK,1
combined_base,LogisticRegression,MF,MF,194
combined_base,RandomForest,DF,DF,305
combined_base,RandomForest,DF,FW,8
combined_base,RandomForest,DF,GK,0
combined_base,RandomForest,DF,MF,52
combined_base,RandomForest,FW,DF,11
combined_base,RandomForest,FW,FW,209
combined_base,RandomForest,FW,GK,0
combined_base,RandomForest,FW,MF,22
combined_base,RandomForest,GK,DF,0
combined_base,RandomForest,GK,FW,0
combined_base,RandomForest,GK,GK,73
combined_base,RandomForest,GK,MF,0
combined_base,RandomForest,MF,DF,52
combined_base,RandomForest,MF,FW,57
combined_base,RandomForest,MF,GK,0
combined_base,RandomForest,MF,MF,192
combined_base,ExtraTrees,DF,DF,302
combined_base,ExtraTrees,DF,FW,7
combined_base,ExtraTrees,DF,GK,1
combined_base,ExtraTrees,DF,MF,55
combined_base,ExtraTrees,FW,DF,12
combined_base,ExtraTrees,FW,FW,211
combined_base,ExtraTrees,FW,GK,0
combined_base,ExtraTrees,FW,MF,19
combined_base,ExtraTrees,GK,DF,0
combined_base,ExtraTrees,GK,FW,0
combined_base,ExtraTrees,GK,GK,73
combined_base,ExtraTrees,GK,MF,0
combined_base,ExtraTrees,MF,DF,74
combined_base,ExtraTrees,MF,FW,61
combined_base,ExtraTrees,MF,GK,0
combined_base,ExtraTrees,MF,MF,166
combined_base,HistGradientBoosting,DF,DF,296
combined_base,HistGradientBoosting,DF,FW,11
combined_base,HistGradientBoosting,DF,GK,0
combined_base,HistGradientBoosting,DF,MF,58
combined_base,HistGradientBoosting,FW,DF,16
combined_base,HistGradientBoosting,FW,FW,210
combined_base,HistGradientBoosting,FW,GK,0
combined_base,HistGradientBoosting,FW,MF,16
combined_base,HistGradientBoosting,GK,DF,1
combined_base,HistGradientBoosting,GK,FW,0
combined_base,HistGradientBoosting,GK,GK,72
combined_base,HistGradientBoosting,GK,MF,0
combined_base,HistGradientBoosting,MF,DF,48
combined_base,HistGradientBoosting,MF,FW,46
combined_base,HistGradientBoosting,MF,GK,0
combined_base,HistGradientBoosting,MF,MF,207
detailed_2024_2025,LogisticRegression,DF,DF,173
detailed_2024_2025,LogisticRegression,DF,FW,3
detailed_2024_2025,LogisticRegression,DF,GK,0
detailed_2024_2025,LogisticRegression,DF,MF,10
detailed_2024_2025,LogisticRegression,FW,DF,3
detailed_2024_2025,LogisticRegression,FW,FW,103
detailed_2024_2025,LogisticRegression,FW,GK,0
detailed_2024_2025,LogisticRegression,FW,MF,14
detailed_2024_2025,LogisticRegression,GK,DF,0
detailed_2024_2025,LogisticRegression,GK,FW,0
detailed_2024_2025,LogisticRegression,GK,GK,38
detailed_2024_2025,LogisticRegression,GK,MF,0
detailed_2024_2025,LogisticRegression,MF,DF,6
detailed_2024_2025,LogisticRegression,MF,FW,21
detailed_2024_2025,LogisticRegression,MF,GK,0
detailed_2024_2025,LogisticRegression,MF,MF,125
detailed_2024_2025,RandomForest,DF,DF,178
detailed_2024_2025,RandomForest,DF,FW,5
detailed_2024_2025,RandomForest,DF,GK,0
