task,experiment,model,target_class,feature,view_type,value,rank
classification,combined_base,LogisticRegression,DF,Starts,coefficient,-2.581791232144801,1
classification,combined_base,LogisticRegression,DF,90s,coefficient,1.6934043558569538,2
classification,combined_base,LogisticRegression,DF,Min,coefficient,1.6588459327568366,3
classification,combined_base,LogisticRegression,DF,Squad_Leverkusen,coefficient,1.5020201309221788,4
classification,combined_base,LogisticRegression,DF,PrgP_per90,coefficient,1.3334337354276609,5
classification,combined_base,LogisticRegression,DF,Squad_St. Pauli,coefficient,-1.2357421957604597,6
classification,combined_base,LogisticRegression,DF,Squad_Inter,coefficient,1.190997891573122,7
classification,combined_base,LogisticRegression,DF,Squad_Bayern Munich,coefficient,1.0620454352288948,8
classification,combined_base,LogisticRegression,DF,Squad_Arsenal,coefficient,1.039901280733237,9
classification,combined_base,LogisticRegression,DF,Squad_Metz,coefficient,-1.0099786908726098,10
classification,combined_base,LogisticRegression,DF,Squad_Barcelona,coefficient,0.9800821001531361,11
classification,combined_base,LogisticRegression,DF,Squad_Atalanta,coefficient,0.9452426878857128,12
classification,combined_base,LogisticRegression,DF,Squad_Roma,coefficient,0.8873041530479979,13
classification,combined_base,LogisticRegression,DF,Squad_Monaco,coefficient,0.8486641998018106,14
classification,combined_base,LogisticRegression,DF,Nation_CGO,coefficient,-0.7841582709469445,15
classification,combined_base,LogisticRegression,DF,Squad_Espanyol,coefficient,-0.6852989181236722,16
classification,combined_base,LogisticRegression,DF,Squad_Atlético Madrid,coefficient,0.6818232159467392,17
classification,combined_base,LogisticRegression,DF,Nation_GRE,coefficient,0.6778590563344781,18
classification,combined_base,LogisticRegression,DF,MP,coefficient,-0.6746592748540315,19
classification,combined_base,LogisticRegression,DF,Squad_Liverpool,coefficient,0.6698484597988961,20
classification,combined_base,LogisticRegression,FW,Squad_Leverkusen,coefficient,-2.2168680759859507,1
classification,combined_base,LogisticRegression,FW,PrgR_per90,coefficient,1.205352621841032,2
classification,combined_base,LogisticRegression,FW,Squad_Villarreal,coefficient,-1.1904312450406491,3
classification,combined_base,LogisticRegression,FW,Min,coefficient,-1.1697120138851345,4
classification,combined_base,LogisticRegression,FW,90s,coefficient,-1.1560161404538551,5
classification,combined_base,LogisticRegression,FW,Nation_CHI,coefficient,1.025097709010417,6
classification,combined_base,LogisticRegression,FW,Squad_Roma,coefficient,-1.0061122424299207,7
classification,combined_base,LogisticRegression,FW,Squad_Inter,coefficient,-0.9927569518277749,8
classification,combined_base,LogisticRegression,FW,Nation_CPV,coefficient,-0.9676627425383839,9
classification,combined_base,LogisticRegression,FW,Squad_Atlético Madrid,coefficient,-0.9471062881319215,10
classification,combined_base,LogisticRegression,FW,Squad_Monaco,coefficient,-0.9463051126917562,11
classification,combined_base,LogisticRegression,FW,Squad_Atalanta,coefficient,-0.9372225988618255,12
classification,combined_base,LogisticRegression,FW,Squad_Betis,coefficient,0.9195164699597527,13
classification,combined_base,LogisticRegression,FW,npxG+xAG_per90,coefficient,0.8778703652158939,14
classification,combined_base,LogisticRegression,FW,Squad_Southampton,coefficient,0.8763125713488122,15
classification,combined_base,LogisticRegression,FW,Squad_RB Leipzig,coefficient,-0.869945371030322,16
classification,combined_base,LogisticRegression,FW,Squad_Arsenal,coefficient,-0.8605601811247405,17
classification,combined_base,LogisticRegression,FW,Nation_NED,coefficient,-0.8247661054946023,18
classification,combined_base,LogisticRegression,FW,Squad_Fulham,coefficient,0.8233962085524855,19
classification,combined_base,LogisticRegression,FW,Squad_Barcelona,coefficient,-0.8078687782112123,20
classification,combined_base,LogisticRegression,GK,PrgP_per90,coefficient,-4.087289166620694,1
classification,combined_base,LogisticRegression,GK,PrgP,coefficient,-1.7804960140686015,2
classification,combined_base,LogisticRegression,GK,PrgC_per90,coefficient,-1.2987406248538615,3
classification,combined_base,LogisticRegression,GK,CrdY,coefficient,-1.1173298614769152,4
classification,combined_base,LogisticRegression,GK,npxG_per90,coefficient,-1.1151446574252384,5
classification,combined_base,LogisticRegression,GK,Squad_Marseille,coefficient,1.100019138235204,6
classification,combined_base,LogisticRegression,GK,xG_per90,coefficient,-1.0215178594366352,7
classification,combined_base,LogisticRegression,GK,start_rate,coefficient,0.992068040034014,8
classification,combined_base,LogisticRegression,GK,PrgR_per90,coefficient,-0.8967006137623447,9
classification,combined_base,LogisticRegression,GK,npxG+xAG_per90,coefficient,-0.8697399787229848,10
classification,combined_base,LogisticRegression,GK,Squad_Angers,coefficient,-0.8433268149656832,11
classification,combined_base,LogisticRegression,GK,Min,coefficient,0.8049292945422666,12
classification,combined_base,LogisticRegression,GK,Nation_CIV,coefficient,-0.8047614799622531,13
classification,combined_base,LogisticRegression,GK,90s,coefficient,0.7970005170160104,14
classification,combined_base,LogisticRegression,GK,Nation_ESP,coefficient,0.7821710827273873,15
classification,combined_base,LogisticRegression,GK,MP,coefficient,-0.7191376362030198,16
classification,combined_base,LogisticRegression,GK,Comp_Bundesliga,coefficient,0.6510530359940674,17
classification,combined_base,LogisticRegression,GK,Nation_BEN,coefficient,-0.6385042050897612,18
classification,combined_base,LogisticRegression,GK,npxG,coefficient,-0.5305162012720805,19
classification,combined_base,LogisticRegression,GK,Squad_Leganés,coefficient,-0.5209791139251039,20
classification,combined_base,LogisticRegression,MF,PrgP_per90,coefficient,2.1340329532709013,1
classification,combined_base,LogisticRegression,MF,Starts,coefficient,1.6255599867422672,2
