experiment,model,label,precision,recall,f1_score,support
combined_base,LogisticRegression,DF,0.8067226890756303,0.7890410958904109,0.7977839335180056,365.0
combined_base,LogisticRegression,FW,0.7786259541984732,0.8429752066115702,0.8095238095238095,242.0
combined_base,LogisticRegression,GK,0.9864864864864865,1.0,0.9931972789115646,73.0
combined_base,LogisticRegression,MF,0.6736111111111112,0.6445182724252492,0.6587436332767402,301.0
combined_base,LogisticRegression,macro avg,0.8113615602179253,0.8191336437318075,0.81481216380753,981.0
combined_base,LogisticRegression,weighted avg,0.7723259127284339,0.7737003058103975,0.7725597682116992,981.0
combined_base,RandomForest,DF,0.8288043478260869,0.8356164383561644,0.8321964529331515,365.0
combined_base,RandomForest,FW,0.7627737226277372,0.8636363636363636,0.810077519379845,242.0
combined_base,RandomForest,GK,1.0,1.0,1.0,73.0
combined_base,RandomForest,MF,0.7218045112781954,0.6378737541528239,0.6772486772486772,301.0
combined_base,RandomForest,macro avg,0.8283456454330049,0.8342816390363379,0.8298806623904185,981.0
combined_base,RandomForest,weighted avg,0.7924240425353424,0.7940876656472987,0.7916843189218905,981.0
combined_base,ExtraTrees,DF,0.7783505154639175,0.8273972602739726,0.8021248339973439,365.0
combined_base,ExtraTrees,FW,0.7562724014336918,0.871900826446281,0.8099808061420346,242.0
combined_base,ExtraTrees,GK,0.9864864864864865,1.0,0.9931972789115646,73.0
combined_base,ExtraTrees,MF,0.6916666666666667,0.5514950166112956,0.6136783733826248,301.0
combined_base,ExtraTrees,macro avg,0.8031940175126906,0.8126982758328873,0.8047453231083919,981.0
combined_base,ExtraTrees,weighted avg,0.7617951472695856,0.7665647298674821,0.7604602561102112,981.0
combined_base,HistGradientBoosting,DF,0.8199445983379502,0.810958904109589,0.8154269972451791,365.0
combined_base,HistGradientBoosting,FW,0.7865168539325843,0.8677685950413223,0.825147347740668,242.0
combined_base,HistGradientBoosting,GK,1.0,0.9863013698630136,0.993103448275862,73.0
combined_base,HistGradientBoosting,MF,0.7366548042704626,0.6877076411960132,0.711340206185567,301.0
combined_base,HistGradientBoosting,macro avg,0.8357790641352492,0.8381841275524846,0.8362544998618191,981.0
combined_base,HistGradientBoosting,weighted avg,0.799541236626347,0.800203873598369,0.7991095473330537,981.0
detailed_2024_2025,LogisticRegression,DF,0.9505494505494505,0.9301075268817204,0.9402173913043478,186.0
detailed_2024_2025,LogisticRegression,FW,0.8110236220472441,0.8583333333333333,0.8340080971659919,120.0
detailed_2024_2025,LogisticRegression,GK,1.0,1.0,1.0,38.0
detailed_2024_2025,LogisticRegression,MF,0.8389261744966443,0.8223684210526315,0.8305647840531561,152.0
detailed_2024_2025,LogisticRegression,macro avg,0.9001248117733347,0.9027023203169212,0.9011975681308739,496.0
detailed_2024_2025,LogisticRegression,weighted avg,0.8863746188938649,0.8850806451612904,0.8854984951988054,496.0
detailed_2024_2025,RandomForest,DF,0.9270833333333334,0.956989247311828,0.9417989417989417,186.0
detailed_2024_2025,RandomForest,FW,0.7801418439716312,0.9166666666666666,0.842911877394636,120.0
detailed_2024_2025,RandomForest,GK,1.0,1.0,1.0,38.0
detailed_2024_2025,RandomForest,MF,0.904,0.743421052631579,0.8158844765342961,152.0
detailed_2024_2025,RandomForest,macro avg,0.9028062943262412,0.9042692416525184,0.9001488239319685,496.0
detailed_2024_2025,RandomForest,weighted avg,0.8900454057995882,0.8850806451612904,0.8837469130951058,496.0
detailed_2024_2025,ExtraTrees,DF,0.9183673469387755,0.967741935483871,0.9424083769633508,186.0
detailed_2024_2025,ExtraTrees,FW,0.7671232876712328,0.9333333333333333,0.8421052631578947,120.0
detailed_2024_2025,ExtraTrees,GK,1.0,1.0,1.0,38.0
detailed_2024_2025,ExtraTrees,MF,0.9310344827586207,0.7105263157894737,0.8059701492537313,152.0
detailed_2024_2025,ExtraTrees,macro avg,0.9041312793421572,0.9029003961516695,0.8976209473437442,496.0
detailed_2024_2025,ExtraTrees,weighted avg,0.8919120210291746,0.8830645161290323,0.8807420410901164,496.0
detailed_2024_2025,HistGradientBoosting,DF,0.953125,0.9838709677419355,0.9682539682539683,186.0
detailed_2024_2025,HistGradientBoosting,FW,0.8222222222222222,0.925,0.8705882352941177,120.0
detailed_2024_2025,HistGradientBoosting,GK,1.0,0.9736842105263158,0.9866666666666667,38.0
detailed_2024_2025,HistGradientBoosting,MF,0.9318181818181818,0.8092105263157895,0.8661971830985915,152.0
detailed_2024_2025,HistGradientBoosting,macro avg,0.9267913510101009,0.9229414261460102,0.9229265133283361,496.0
detailed_2024_2025,HistGradientBoosting,weighted avg,0.9185166941593352,0.9153225806451613,0.9147603457557489,496.0
