Player,Nation,Squad,Comp,Pos,season,source_file,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,PKatt_per90,CrdY_per90,CrdR_per90,xG_per90,npxG_per90,xAG_per90,npxG+xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,start_rate
Max Aarons,ENG,Bournemouth,Premier League,DF,2023_2024,top5-players.csv,23.0,2000.0,20,13,1237,13.7,0,1,1,0,0,0,1,0,0.0,0.0,0.8,0.9,22.0,43.0,26.0,0.0,0.07299270072992702,0.07299270072992702,0.0,0.0,0.0,0.07299270072992702,0.0,0.0,0.0,0.05839416058394161,0.06569343065693431,1.6058394160583942,3.1386861313868613,1.8978102189781023,0.65
Brenden Aaronson,USA,Union Berlin,Bundesliga,MF,2023_2024,top5-players.csv,22.0,2000.0,30,14,1267,14.1,2,2,4,2,0,0,3,1,2.0,2.0,1.9,3.8,37.0,56.0,91.0,0.14184397163120568,0.14184397163120568,0.28368794326241137,0.14184397163120568,0.0,0.0,0.2127659574468085,0.07092198581560284,0.14184397163120568,0.14184397163120568,0.1347517730496454,0.2695035460992908,2.624113475177305,3.971631205673759,6.453900709219858,0.4666666666666667
Paxten Aaronson,USA,Eint Frankfurt,Bundesliga,MF,2023_2024,top5-players.csv,19.0,2003.0,7,1,101,1.1,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.2,2.0,5.0,7.0,0.0,0.9090909090909091,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,1.8181818181818181,4.545454545454545,6.363636363636363,0.14285714285714285
Yunis Abdelhamid,MAR,Reims,Ligue 1,DF,2023_2024,top5-players.csv,35.0,1987.0,31,31,2781,30.9,4,0,4,3,1,1,5,0,3.4,2.6,0.3,2.9,36.0,137.0,9.0,0.12944983818770228,0.0,0.12944983818770228,0.0970873786407767,0.03236245954692557,0.03236245954692557,0.16181229773462785,0.0,0.11003236245954692,0.08414239482200649,0.00970873786407767,0.09385113268608414,1.1650485436893205,4.433656957928803,0.29126213592233013,1.0
Salis Abdul Samed,GHA,Lens,Ligue 1,MF,2023_2024,top5-players.csv,23.0,2000.0,27,17,1519,16.9,0,0,0,0,0,0,2,0,0.8,0.8,0.5,1.3,9.0,78.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1183431952662722,0.0,0.04733727810650888,0.04733727810650888,0.02958579881656805,0.07692307692307693,0.5325443786982249,4.615384615384616,1.183431952662722,0.6296296296296297
Nabil Aberdin,FRA,Getafe,La Liga,DF,2023_2024,top5-players.csv,20.0,2002.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,1.0
Laurent Abergel,FRA,Lorient,Ligue 1,MF,2023_2024,top5-players.csv,30.0,1993.0,33,32,2860,31.8,2,1,3,2,0,0,4,0,1.1,1.1,2.2,3.3,38.0,194.0,51.0,0.06289308176100629,0.031446540880503145,0.09433962264150943,0.06289308176100629,0.0,0.0,0.12578616352201258,0.0,0.03459119496855346,0.03459119496855346,0.06918238993710692,0.10377358490566037,1.1949685534591195,6.10062893081761,1.6037735849056602,0.9696969696969697
Matthis Abline,FRA,Nantes,Ligue 1,FW,2023_2024,top5-players.csv,20.0,2003.0,22,12,1044,11.6,5,0,5,5,0,0,1,0,3.8,3.8,2.0,5.8,28.0,20.0,87.0,0.4310344827586207,0.0,0.4310344827586207,0.4310344827586207,0.0,0.0,0.08620689655172414,0.0,0.3275862068965517,0.3275862068965517,0.1724137931034483,0.5,2.413793103448276,1.7241379310344829,7.5,0.5454545454545454
Abner,BRA,Betis,La Liga,DF,2023_2024,top5-players.csv,23.0,2000.0,23,15,1400,15.6,0,1,1,0,0,0,3,0,0.1,0.1,1.0,1.1,14.0,33.0,58.0,0.0,0.06410256410256411,0.06410256410256411,0.0,0.0,0.0,0.19230769230769232,0.0,0.006410256410256411,0.006410256410256411,0.06410256410256411,0.07051282051282053,0.8974358974358975,2.1153846153846154,3.717948717948718,0.6521739130434783
Zakaria Aboukhlal,MAR,Toulouse,Ligue 1,MF,2023_2024,top5-players.csv,23.0,2000.0,13,9,754,8.4,3,0,3,2,1,1,2,0,2.8,2.0,0.2,2.2,23.0,20.0,75.0,0.35714285714285715,0.0,0.35714285714285715,0.23809523809523808,0.11904761904761904,0.11904761904761904,0.23809523809523808,0.0,0.3333333333333333,0.23809523809523808,0.023809523809523808,0.2619047619047619,2.738095238095238,2.380952380952381,8.928571428571429,0.6923076923076923
Abdel Abqar,MAR,Alavés,La Liga,DF,2023_2024,top5-players.csv,24.0,1999.0,27,27,2312,25.7,0,0,0,0,0,0,10,0,0.5,0.5,0.2,0.6,7.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38910505836575876,0.0,0.019455252918287938,0.019455252918287938,0.007782101167315176,0.023346303501945526,0.27237354085603116,1.906614785992218,0.038910505836575876,1.0
Tammy Abraham,ENG,Roma,Serie A,FW,2023_2024,top5-players.csv,25.0,1997.0,8,2,242,2.7,1,0,1,1,0,0,1,0,0.6,0.6,0.1,0.7,6.0,4.0,15.0,0.37037037037037035,0.0,0.37037037037037035,0.37037037037037035,0.0,0.0,0.37037037037037035,0.0,0.2222222222222222,0.2222222222222222,0.037037037037037035,0.25925925925925924,2.222222222222222,1.4814814814814814,5.555555555555555,0.25
Francesco Acerbi,ITA,Inter,Serie A,DF,2023_2024,top5-players.csv,35.0,1988.0,29,26,2388,26.5,3,1,4,3,0,0,1,0,1.6,1.6,1.8,3.4,21.0,87.0,24.0,0.11320754716981132,0.03773584905660377,0.1509433962264151,0.11320754716981132,0.0,0.0,0.03773584905660377,0.0,0.06037735849056604,0.06037735849056604,0.06792452830188679,0.12830188679245283,0.7924528301886793,3.2830188679245285,0.9056603773584906,0.896551724137931
Marcos Acuña,ARG,Sevilla,La Liga,DF,2023_2024,top5-players.csv,31.0,1991.0,21,18,1292,14.4,1,2,3,1,0,0,7,0,0.3,0.3,1.5,1.8,23.0,59.0,42.0,0.06944444444444445,0.1388888888888889,0.20833333333333331,0.06944444444444445,0.0,0.0,0.4861111111111111,0.0,0.020833333333333332,0.020833333333333332,0.10416666666666666,0.125,1.597222222222222,4.097222222222222,2.9166666666666665,0.8571428571428571
