task,experiment,model,target_class,feature,view_type,value,rank
regression,combined_base_regression,LinearRegression,__regression__,xG,coefficient,7.585241842798197,1
regression,combined_base_regression,LinearRegression,__regression__,Min,coefficient,6.8446474347749096,2
regression,combined_base_regression,LinearRegression,__regression__,90s,coefficient,-6.4092370074522425,3
regression,combined_base_regression,LinearRegression,__regression__,npxG,coefficient,-5.702605794700238,4
regression,combined_base_regression,LinearRegression,__regression__,npxG+xAG,coefficient,2.8566431819173563,5
regression,combined_base_regression,LinearRegression,__regression__,Nation_BDI,coefficient,2.2892027453866772,6
regression,combined_base_regression,LinearRegression,__regression__,PKatt,coefficient,-1.8206491145694887,7
regression,combined_base_regression,LinearRegression,__regression__,Nation_ARM,coefficient,-1.5533792119388856,8
regression,combined_base_regression,LinearRegression,__regression__,xG_per90,coefficient,-1.4643589206083347,9
regression,combined_base_regression,LinearRegression,__regression__,Nation_BEN,coefficient,-1.427012869289674,10
regression,combined_base_regression,LinearRegression,__regression__,Nation_KOR,coefficient,1.4109515900622747,11
regression,combined_base_regression,LinearRegression,__regression__,Nation_MLT,coefficient,1.3418824872377644,12
regression,combined_base_regression,LinearRegression,__regression__,npxG_per90,coefficient,1.3324611729698386,13
regression,combined_base_regression,LinearRegression,__regression__,xAG,coefficient,-1.2605180024992522,14
regression,combined_base_regression,LinearRegression,__regression__,Nation_DOM,coefficient,-1.2162473299533865,15
regression,combined_base_regression,LinearRegression,__regression__,Nation_GAB,coefficient,-1.1983317821653208,16
regression,combined_base_regression,LinearRegression,__regression__,Nation_HAI,coefficient,-1.0647751434441413,17
regression,combined_base_regression,LinearRegression,__regression__,Nation_BFA,coefficient,-0.9960748879784118,18
regression,combined_base_regression,LinearRegression,__regression__,Nation_ISL,coefficient,0.9609443017586611,19
regression,combined_base_regression,LinearRegression,__regression__,Nation_PAN,coefficient,0.9481682466416865,20
regression,combined_base_regression,ElasticNet,__regression__,xG,coefficient,1.2396408181303245,1
regression,combined_base_regression,ElasticNet,__regression__,npxG,coefficient,1.1922861615528608,2
regression,combined_base_regression,ElasticNet,__regression__,Nation_KOR,coefficient,0.9511139319982783,3
regression,combined_base_regression,ElasticNet,__regression__,PK,coefficient,0.7987544932238447,4
regression,combined_base_regression,ElasticNet,__regression__,npxG+xAG,coefficient,0.7202124176519893,5
regression,combined_base_regression,ElasticNet,__regression__,Nation_GAB,coefficient,-0.6802881082207521,6
regression,combined_base_regression,ElasticNet,__regression__,Nation_ISL,coefficient,0.6202354687372207,7
regression,combined_base_regression,ElasticNet,__regression__,Nation_PAR,coefficient,-0.5951757718161744,8
regression,combined_base_regression,ElasticNet,__regression__,Nation_BEN,coefficient,-0.5389952792474679,9
regression,combined_base_regression,ElasticNet,__regression__,Nation_BFA,coefficient,-0.5005611228953093,10
regression,combined_base_regression,ElasticNet,__regression__,Squad_Real Madrid,coefficient,0.48606095178627073,11
regression,combined_base_regression,ElasticNet,__regression__,Squad_Leverkusen,coefficient,0.47013549883817574,12
regression,combined_base_regression,ElasticNet,__regression__,Nation_HUN,coefficient,-0.4686591480502193,13
regression,combined_base_regression,ElasticNet,__regression__,Squad_Lens,coefficient,-0.4165033711176643,14
regression,combined_base_regression,ElasticNet,__regression__,Squad_St. Pauli,coefficient,-0.4068723869846099,15
regression,combined_base_regression,ElasticNet,__regression__,Squad_Atalanta,coefficient,0.40552337816612277,16
regression,combined_base_regression,ElasticNet,__regression__,Nation_ARM,coefficient,-0.39916702517076974,17
regression,combined_base_regression,ElasticNet,__regression__,Squad_Inter,coefficient,0.3960974064734981,18
regression,combined_base_regression,ElasticNet,__regression__,Squad_Lecce,coefficient,-0.36624654292412795,19
regression,combined_base_regression,ElasticNet,__regression__,Nation_HAI,coefficient,-0.36099168815511873,20
regression,combined_base_regression,RandomForestRegressor,__global__,xG,importance,0.8657942590481309,1
regression,combined_base_regression,RandomForestRegressor,__global__,npxG,importance,0.015526688824892413,2
regression,combined_base_regression,RandomForestRegressor,__global__,start_rate,importance,0.006343889918680079,3
regression,combined_base_regression,RandomForestRegressor,__global__,CrdY_per90,importance,0.006300108548878729,4
regression,combined_base_regression,RandomForestRegressor,__global__,PrgP_per90,importance,0.006271046551160285,5
regression,combined_base_regression,RandomForestRegressor,__global__,npxG+xAG,importance,0.006230373328924637,6
regression,combined_base_regression,RandomForestRegressor,__global__,PrgC_per90,importance,0.006013398173927253,7
regression,combined_base_regression,RandomForestRegressor,__global__,PrgR,importance,0.005982730329493832,8
regression,combined_base_regression,RandomForestRegressor,__global__,PrgR_per90,importance,0.0051014071769029026,9
regression,combined_base_regression,RandomForestRegressor,__global__,xAG_per90,importance,0.0050593275582724905,10
regression,combined_base_regression,RandomForestRegressor,__global__,npxG+xAG_per90,importance,0.004822944551460501,11
regression,combined_base_regression,RandomForestRegressor,__global__,Ast_per90,importance,0.004702868890279285,12
regression,combined_base_regression,RandomForestRegressor,__global__,xG_per90,importance,0.004635748728622324,13
regression,combined_base_regression,RandomForestRegressor,__global__,PrgP,importance,0.004559256804890886,14
regression,combined_base_regression,RandomForestRegressor,__global__,Born,importance,0.00443008754640469,15
regression,combined_base_regression,RandomForestRegressor,__global__,PrgC,importance,0.004280687273300143,16
regression,combined_base_regression,RandomForestRegressor,__global__,Age,importance,0.003833085366988138,17
regression,combined_base_regression,RandomForestRegressor,__global__,xAG,importance,0.0037002198107864187,18
regression,combined_base_regression,RandomForestRegressor,__global__,npxG_per90,importance,0.0033645756855678046,19
regression,combined_base_regression,RandomForestRegressor,__global__,MP,importance,0.003121899702571858,20
regression,combined_base_regression,PoissonRegressor,__regression__,MP,coefficient,0.41250579602639603,1
regression,combined_base_regression,PoissonRegressor,__regression__,Pos_GK,coefficient,-0.34448858387391224,2
regression,combined_base_regression,PoissonRegressor,__regression__,Pos_FW,coefficient,0.34294113096162726,3
regression,combined_base_regression,PoissonRegressor,__regression__,start_rate,coefficient,0.20043311498826724,4
regression,combined_base_regression,PoissonRegressor,__regression__,Pos_MF,coefficient,0.17318144216984402,5
regression,combined_base_regression,PoissonRegressor,__regression__,Pos_DF,coefficient,-0.17148699582889768,6
regression,combined_base_regression,PoissonRegressor,__regression__,npxG_per90,coefficient,0.14784230670784881,7
regression,combined_base_regression,PoissonRegressor,__regression__,xG_per90,coefficient,0.13925026694287787,8
regression,combined_base_regression,PoissonRegressor,__regression__,npxG+xAG_per90,coefficient,0.11586036290733684,9
regression,combined_base_regression,PoissonRegressor,__regression__,PrgR,coefficient,0.11137352949936076,10
regression,combined_base_regression,PoissonRegressor,__regression__,PK_per90,coefficient,0.10751193688631937,11
regression,combined_base_regression,PoissonRegressor,__regression__,PrgR_per90,coefficient,0.08866799760497365,12
regression,combined_base_regression,PoissonRegressor,__regression__,Squad_Liverpool,coefficient,-0.08751430611957858,13
regression,combined_base_regression,PoissonRegressor,__regression__,PrgP,coefficient,0.08710538188391105,14
regression,combined_base_regression,PoissonRegressor,__regression__,Squad_Bayern Munich,coefficient,-0.076900778956303,15
regression,combined_base_regression,PoissonRegressor,__regression__,CrdY,coefficient,0.06831054126074251,16
regression,combined_base_regression,PoissonRegressor,__regression__,Nation_NED,coefficient,0.0653746053169322,17
regression,combined_base_regression,PoissonRegressor,__regression__,CrdY_per90,coefficient,-0.060500708378293425,18
regression,combined_base_regression,PoissonRegressor,__regression__,Nation_EGY,coefficient,-0.059711492177217676,19
regression,combined_base_regression,PoissonRegressor,__regression__,npxG,coefficient,0.05626284289563849,20
regression,combined_base_regression,TweedieRegressor,__regression__,MP,coefficient,0.3948783200531152,1
regression,combined_base_regression,TweedieRegressor,__regression__,Pos_GK,coefficient,-0.3686024664696965,2
regression,combined_base_regression,TweedieRegressor,__regression__,Pos_FW,coefficient,0.2588493913689842,3
regression,combined_base_regression,TweedieRegressor,__regression__,npxG_per90,coefficient,0.20714978380798307,4
regression,combined_base_regression,TweedieRegressor,__regression__,xG_per90,coefficient,0.1931253698571157,5
regression,combined_base_regression,TweedieRegressor,__regression__,start_rate,coefficient,0.1516255078587378,6
regression,combined_base_regression,TweedieRegressor,__regression__,Pos_MF,coefficient,0.15153433184425572,7
regression,combined_base_regression,TweedieRegressor,__regression__,npxG+xAG_per90,coefficient,0.14674941356545296,8
regression,combined_base_regression,TweedieRegressor,__regression__,PK_per90,coefficient,0.12161094434775303,9
regression,combined_base_regression,TweedieRegressor,__regression__,PrgP,coefficient,0.11892990368550045,10
regression,combined_base_regression,TweedieRegressor,__regression__,PrgR,coefficient,0.11566992870100583,11
regression,combined_base_regression,TweedieRegressor,__regression__,PrgR_per90,coefficient,0.10350846822788914,12
regression,combined_base_regression,TweedieRegressor,__regression__,CrdY,coefficient,0.10148036232025555,13
regression,combined_base_regression,TweedieRegressor,__regression__,npxG,coefficient,0.07133814465790929,14
regression,combined_base_regression,TweedieRegressor,__regression__,PKatt,coefficient,-0.0626404986914237,15
regression,combined_base_regression,TweedieRegressor,__regression__,Comp_Premier League,coefficient,-0.061419012669787,16
regression,combined_base_regression,TweedieRegressor,__regression__,Nation_FRA,coefficient,-0.05635753520335361,17
regression,combined_base_regression,TweedieRegressor,__regression__,Comp_Bundesliga,coefficient,0.05428831650675947,18
regression,combined_base_regression,TweedieRegressor,__regression__,Ast,coefficient,-0.05183516205362789,19
regression,combined_base_regression,TweedieRegressor,__regression__,Comp_Serie A,coefficient,0.05160256533694643,20
